text,label
ههههههههههههههههههههههههههههههههههههههههههه ياافنديه مصر دي ام الدنيا وشعبها احسن ناس وشعب متقدم جدااااااا الي انتم بتعملوه اليوم احنا عملناه من زمااااااااااااااااااااااااااااااااان ولي لسه هتعملوه برضه مصر عملته خلاااااااااااااااااااااااااااااااص,EGY
اه جند رقص روتينيه هي يعني عندها صيت عالمي ومشروع كيف تعرف القسطنطينيه مشاهدي قناه ديكسفيل جزايريا,NOR
لمنطقه ايريز ما بقي في التعليل بالشيخ حتي ما يخدمها,NOR
ولا اتحدث بعد المشاكل منطقتنا تحب تبعد المجاهد,NOR
اذا كانت فعقد عاجز علي ان يقوم بواجبه في اكثر من مغبه منها التقطير والتكوين والتقييم والامتحانات والبرامج كل هذا الي ان بقطاعنا انساني الاستهانه بالمنظومه والاستهانه بالمدرسه,NOR
توفي اليوم عن صباح الخير يا رفيق,GLF
كسر حلقه لانه مدرس للحكومه اكيد اجي بكون او فارول الاساس فيها في نخبه كامل من موجدين في يعني طالعين متاهلين ومتدربين ملي للجامعات الحكوميه فاز لذلك فانا حبيت اني اكون في مدرسه حكوميه وبكاء بذلك ان الاقساط كثير عالي تبعه الحكم الخاصه,LAV
جمهور المصاب للمطار,LAV
هو سعر حديد عز بكام انهارده يا معلم جمال؟,EGY
واذا الهولنديه في العماره يعني الجانب الثاني,LAV
هل واحد مثل هذا الشخص كان يمكن له ان يجد لهو دور في النادي الاهلي ( نادي القرن ) ولذلك احمد الله تعالي علي ان نادي القرن لم يتذكره في الميويه هذا الشخص عار علي النادي الاهلي وبلسم علي ناس تانيه هو ده اسلوبهم .........وعجبي..........,EGY
احنا في الغربه شايفين الذل ليه,EGY
ارجو الاتصال مسوولي نحنا يابانيين وجزايريين ارفض ويتحدثوا معنا قضيه اه ومشروع الكبير مشروع الطريق السيار السريع شرق غرب اراه متوقف حاليا البول الناس يعني المتعاملين رغم يطالبوا كنا معكم من شوايب الميلي انت لديك سطيف الجزايري يعقوب سيس الحروش قوصان الحروش وان المشروع او متوقف تعرف سارع الشرق,NOR
البلد مبتقدمش خطوه ليه؟؟,EGY
واهدي شويه وبطلي نفاق..وعلي فكره كل كلمه بتكتبيها بتاكدلي انك بتكرهي مصــر,EGY
حوار متدني وتافه وهابط كيف تسمحوا لمثل هذه اللقاءات ان تتم علي الهواء انا الوم الشيخ خالد الجندي //الفروض ان مجا لس الصلح هذه تتم بعيدا عن الكاميرات ومع ناس بتعرف الحقوق //بالبلدي كده قعده عرب ومحلس عرفي لو عاوزين فعلا الموضوع يتحل فيه ناس عمد ومشايخ عرب يعرفوا يحلوا /,EGY
وعند دخوله النادي التف حوله عدد كبير من انصاره - يامصيبه هو في في لسه زملكاوي واحد عاقل وبيفهم لسه يقول علي مرتضي منصور بيحب الزمالك ده اكتر واحد خرب نادي الزمالك واكتر واحد يحب مصالحه الشخصيه فقط وطظ في الزمالك ده اثبت بما لايدع اي مجال للشك انه اهلاوي اكتر من صالح سليم نفسه يازملكاويه فوقوا بقه ده هو قايد الطابور الخامس في الزمالك,EGY
ابعد عنا يا جمال نحن لسنا من تراث عايلتكم نريد ان نستريح من كابوس الثوريث والف نعم للبرادعي,EGY
زلازل ثم مدير نرجع لك التالي المقاوله لاخلاء ثم الديار هذه الدار نصراني تجار تحت,NOR
والمنحوتات اه اللي صارت بكامل اه يويي وابداع الفتاه الهنديه ابو عماد صغير صغير يخسر الاكثر وصعب,LAV
طيب التوتر اذا ما تصاعد علي الحدود في فترات تاريخيه سابقه لمصر رفع شعار لا صوت يعلو فوق صوت المعركه استغلالا للتوتر في العلاقات مع اسراييل لبقاء انظمه ديكتاتوريه ربما لتحقيق المصلحه الوطنيه بالاساس بقدر ما حريصه علي البقاء تحت مبرر التوتر مع اسراييل هل تعتقد ان هذه التجربه يمكن ان تتكرر في المرحله التي ل المجلس العسكري تحديدا,MSA
العيب عند اهل البنت يعني البنات لما يبقوا لابسين قصير ومحزق الشاب مش هيعاكس ما كل تضاريس البنت باينه ادامه لازم يعاكس لانه يعتبر شايفها من غير هدوم فده طبيعي من الشباب لو البنات مش عايزه تتعاكس تحترم نفسها يعني البنات المحترمه الشباب بتتحرج تعاكسها يعني لو البنت لابسه استدال مثلا مفيش حد يجيله الجراه انه يعاكسهاالبنات في مصر عايزه تتجوز وتتعاكس وده سبب كثره البنات وارتفاع نسبه العنوثه في مصر حرام علي البنات واهاليها اللي بيعملوه في الشباب دلوقتي الشاب عايز يمشي مع البنت لانه مش معجب بشخصيتها ولا لانه بيحبها لانه معجب بجسمها فقطحتي لو وحشه وجسمها حلو بتتعاكس ياريت المسولين يلاقوا حل,EGY
بس الوضع ده مش هيستمر كتير لان الكل بكره هيعرف مين اللي ينفع يبقي رييسنا ومين هو اللي بيخاف علي الشعب مش زيك عايز الشباب ترمي روحها في الهلاك,EGY
اشمعني النهارده في ايام ربنا الكلام لاداره الجامعه ولحماقي اللي اكيد سمع عن حركه 6ابريل,EGY
